#T Interaction energy_density pressure entropy p_over_e cs^2
0.051 0.0669199768323241 0.0708296129666513 0.00130321204477572 0.072132825011427 0.0183992540717301 0.135021217143414 
0.052 0.0678860115714522 0.0756839714604657 0.00259931996300451 0.0782832914234702 0.034344391723184 0.139614839807475 
0.053 0.0689168703258087 0.0805863029069039 0.00388981086036505 0.0844761137672689 0.0482688834212769 0.143727934517634 
0.054 0.0700131310235777 0.0855414259372215 0.00517609830454793 0.0907175242417695 0.0605098435972606 0.147416157942887 
0.055 0.0711755401020563 0.0905541325342301 0.0064595308107246 0.0970136633449547 0.0713333630387641 0.15072681227971 
0.056 0.0724050056092306 0.0956292039101895 0.00774139943365297 0.103370603343842 0.0809522522107716 0.153700356370909 
0.057 0.0737025915692263 0.100771425321537 0.00902294458410348 0.10979436990564 0.089538721471027 0.15637160125141 
0.058 0.0750695134656498 0.105985599976671 0.0103053621703404 0.116290962147012 0.0972336069485741 0.158770664351615 
0.059 0.0765071347193596 0.111276562172894 0.011589809151178 0.122866371324072 0.104153192054681 0.160923737290814 
0.06 0.0780169640557519 0.116649189781117 0.0128774085751216 0.129526598356238 0.110394325063767 0.162853708358973 
0.061 0.0796006536726656 0.122108416182603 0.014169254169979 0.136277670352582 0.116038309339711 0.164580670752453 
0.062 0.0812599981329052 0.127659241749098 0.015466414538731 0.143125656287829 0.121153896316639 0.166122340261069 
0.063 0.0829969339179616 0.133306744948387 0.0167699370101418 0.150076681958529 0.125799613640215 0.167494400657336 
0.064 0.0848135395874278 0.139056093146526 0.0180808511863662 0.157136944332893 0.130025594544167 0.168710790951166 
0.065 0.0867120364986138 0.144912553172049 0.0194001722244785 0.164312725396528 0.13387502876611 0.169783945589688 
0.066 0.0886947900464468 0.150881501699322 0.0207289038842919 0.171610405583614 0.137385323255866 0.170724996334872 
0.067 0.0907643113911106 0.156968435503846 0.0220680413709119 0.179036476874758 0.140589038172398 0.171543942747173 
0.068 0.0929232596450051 0.16317898163629 0.0234185739970949 0.186597555633385 0.143514647304839 0.17224979680843 
0.069 0.0951744444962732 0.169518907558966 0.0247814876875643 0.19430039524653 0.146187160148753 0.172850706132954 
0.07 0.0975208292486375 0.175994131283404 0.026157767344922 0.202151898628326 0.148628634115078 0.173354059359041 
