   61.000999999999998     
  0.50000000000000000              501
   0.6335134391   0.0000000000   0.0000000000
   0.6332613228   0.0000000000   0.0000000000
   0.6330089025   0.0000000000   0.0000000000
   0.6327561779   0.0000000000   0.0000000000
   0.6325031478   0.0000000000   0.0000000000
   0.6322498114   0.0000000000   0.0000000000
   0.6319961680   0.0000000000   0.0000000000
   0.6317422165   0.0000000000   0.0000000000
   0.6314879562   0.0000000000   0.0000000000
   0.6312333862   0.0000000000   0.0000000000
   0.6309785057   0.0000000000   0.0000000000
   0.6307233135   0.0000000000   0.0000000000
   0.6304678090   0.0000000000   0.0000000000
   0.6302119912   0.0000000000   0.0000000000
   0.6299558593   0.0000000000   0.0000000000
   0.6296994121   0.0000000000   0.0000000000
   0.6294426490   0.0000000000   0.0000000000
   0.6291855691   0.0000000000   0.0000000000
   0.6289281712   0.0000000000   0.0000000000
   0.6286704547   0.0000000000   0.0000000000
   0.6284124185   0.0000000000   0.0000000000
   0.6281540619   0.0000000000   0.0000000000
   0.6278953837   0.0000000000   0.0000000000
   0.6276363827   0.0000000000   0.0000000000
   0.6273770587   0.0000000000   0.0000000000
   0.6271174101   0.0000000000   0.0000000000
   0.6268574361   0.0000000000   0.0000000000
   0.6265971361   0.0000000000   0.0000000000
   0.6263365088   0.0000000000   0.0000000000
   0.6260755534   0.0000000000   0.0000000000
   0.6258142690   0.0000000000   0.0000000000
   0.6255526544   0.0000000000   0.0000000000
   0.6252907087   0.0000000000   0.0000000000
   0.6250284306   0.0000000000   0.0000000000
   0.6247658200   0.0000000000   0.0000000000
   0.6245028750   0.0000000000   0.0000000000
   0.6242395951   0.0000000000   0.0000000000
   0.6239759792   0.0000000000   0.0000000000
   0.6237120263   0.0000000000   0.0000000000
   0.6234477351   0.0000000000   0.0000000000
   0.6231831051   0.0000000000   0.0000000000
   0.6229181350   0.0000000000   0.0000000000
   0.6226528237   0.0000000000   0.0000000000
   0.6223871706   0.0000000000   0.0000000000
   0.6221211739   0.0000000000   0.0000000000
   0.6218548332   0.0000000000   0.0000000000
   0.6215881474   0.0000000000   0.0000000000
   0.6213211153   0.0000000000   0.0000000000
   0.6210537357   0.0000000000   0.0000000000
   0.6207860078   0.0000000000   0.0000000000
   0.6205179305   0.0000000000   0.0000000000
   0.6202495025   0.0000000000   0.0000000000
   0.6199807231   0.0000000000   0.0000000000
   0.6197115911   0.0000000000   0.0000000000
   0.6194421051   0.0000000000   0.0000000000
   0.6191722645   0.0000000000   0.0000000000
   0.6189020680   0.0000000000   0.0000000000
   0.6186315141   0.0000000000   0.0000000000
   0.6183606024   0.0000000000   0.0000000000
   0.6180893315   0.0000000000   0.0000000000
   0.6178177000   0.0000000000   0.0000000000
   0.6175457070   0.0000000000   0.0000000000
   0.6172733517   0.0000000000   0.0000000000
   0.6170006324   0.0000000000   0.0000000000
   0.6167275484   0.0000000000   0.0000000000
   0.6164540983   0.0000000000   0.0000000000
   0.6161802812   0.0000000000   0.0000000000
   0.6159060956   0.0000000000   0.0000000000
   0.6156315405   0.0000000000   0.0000000000
   0.6153566150   0.0000000000   0.0000000000
   0.6150813175   0.0000000000   0.0000000000
   0.6148056473   0.0000000000   0.0000000000
   0.6145296026   0.0000000000   0.0000000000
   0.6142531825   0.0000000000   0.0000000000
   0.6139763863   0.0000000000   0.0000000000
   0.6136992119   0.0000000000   0.0000000000
   0.6134216587   0.0000000000   0.0000000000
   0.6131437255   0.0000000000   0.0000000000
   0.6128654106   0.0000000000   0.0000000000
   0.6125867133   0.0000000000   0.0000000000
   0.6123076321   0.0000000000   0.0000000000
   0.6120281659   0.0000000000   0.0000000000
   0.6117483134   0.0000000000   0.0000000000
   0.6114680733   0.0000000000   0.0000000000
   0.6111874442   0.0000000000   0.0000000000
   0.6109064252   0.0000000000   0.0000000000
   0.6106250147   0.0000000000   0.0000000000
   0.6103432117   0.0000000000   0.0000000000
   0.6100610147   0.0000000000   0.0000000000
   0.6097784225   0.0000000000   0.0000000000
   0.6094954337   0.0000000000   0.0000000000
   0.6092120473   0.0000000000   0.0000000000
   0.6089282618   0.0000000000   0.0000000000
   0.6086440758   0.0000000000   0.0000000000
   0.6083594881   0.0000000000   0.0000000000
   0.6080744974   0.0000000000   0.0000000000
   0.6077891020   0.0000000000   0.0000000000
   0.6075033010   0.0000000000   0.0000000000
   0.6072170929   0.0000000000   0.0000000000
   0.6069304765   0.0000000000   0.0000000000
   0.6066434501   0.0000000000   0.0000000000
   0.6063560126   0.0000000000   0.0000000000
   0.6060681624   0.0000000000   0.0000000000
   0.6057798983   0.0000000000   0.0000000000
   0.6054912190   0.0000000000   0.0000000000
   0.6052021227   0.0000000000   0.0000000000
   0.6049126084   0.0000000000   0.0000000000
   0.6046226744   0.0000000000   0.0000000000
