   11.000999999999999     
  0.10000000000000001              501
   0.4243604073   0.0000000000   0.0000000000
   0.4241905051   0.0000000000   0.0000000000
   0.4240203957   0.0000000000   0.0000000000
   0.4238500784   0.0000000000   0.0000000000
   0.4236795528   0.0000000000   0.0000000000
   0.4235088180   0.0000000000   0.0000000000
   0.4233378736   0.0000000000   0.0000000000
   0.4231667189   0.0000000000   0.0000000000
   0.4229953531   0.0000000000   0.0000000000
   0.4228237761   0.0000000000   0.0000000000
   0.4226519870   0.0000000000   0.0000000000
   0.4224799852   0.0000000000   0.0000000000
   0.4223077701   0.0000000000   0.0000000000
   0.4221353408   0.0000000000   0.0000000000
   0.4219626972   0.0000000000   0.0000000000
   0.4217898383   0.0000000000   0.0000000000
   0.4216167637   0.0000000000   0.0000000000
   0.4214434725   0.0000000000   0.0000000000
   0.4212699642   0.0000000000   0.0000000000
   0.4210962385   0.0000000000   0.0000000000
   0.4209222942   0.0000000000   0.0000000000
   0.4207481309   0.0000000000   0.0000000000
   0.4205737480   0.0000000000   0.0000000000
   0.4203991450   0.0000000000   0.0000000000
   0.4202243208   0.0000000000   0.0000000000
   0.4200492751   0.0000000000   0.0000000000
   0.4198740074   0.0000000000   0.0000000000
   0.4196985165   0.0000000000   0.0000000000
   0.4195228020   0.0000000000   0.0000000000
   0.4193468634   0.0000000000   0.0000000000
   0.4191707001   0.0000000000   0.0000000000
   0.4189943109   0.0000000000   0.0000000000
   0.4188176956   0.0000000000   0.0000000000
   0.4186408534   0.0000000000   0.0000000000
   0.4184637835   0.0000000000   0.0000000000
   0.4182864855   0.0000000000   0.0000000000
   0.4181089584   0.0000000000   0.0000000000
   0.4179312016   0.0000000000   0.0000000000
   0.4177532143   0.0000000000   0.0000000000
   0.4175749962   0.0000000000   0.0000000000
   0.4173965463   0.0000000000   0.0000000000
   0.4172178638   0.0000000000   0.0000000000
   0.4170389482   0.0000000000   0.0000000000
   0.4168597987   0.0000000000   0.0000000000
   0.4166804146   0.0000000000   0.0000000000
   0.4165007951   0.0000000000   0.0000000000
   0.4163209398   0.0000000000   0.0000000000
   0.4161408476   0.0000000000   0.0000000000
   0.4159605179   0.0000000000   0.0000000000
   0.4157799498   0.0000000000   0.0000000000
   0.4155991430   0.0000000000   0.0000000000
   0.4154180964   0.0000000000   0.0000000000
   0.4152368094   0.0000000000   0.0000000000
   0.4150552810   0.0000000000   0.0000000000
   0.4148735110   0.0000000000   0.0000000000
   0.4146914981   0.0000000000   0.0000000000
   0.4145092417   0.0000000000   0.0000000000
