#T Interaction energy_density pressure entropy p_over_e cs^2
0.051 0.0216567423600929 0.0229167458511887 0.000420001163698583 0.0233367470148873 0.0183272601802143 0.128132443193047 
0.052 0.0221529947289896 0.0246766072311485 0.000841204167386302 0.0255178113985348 0.0340891338710645 0.132527466873778 
0.053 0.0226773762155578 0.0264696382769558 0.00126408735379936 0.0277337256307552 0.0477561249826318 0.136427141394748 
0.054 0.0232306940899331 0.028298044387768 0.00168911676594498 0.029987161153713 0.0596902295720161 0.139890423378208 
0.055 0.0238138284356339 0.0301640735327299 0.0021167483656987 0.0322808218984286 0.0701744863273155 0.142967191697919 
0.056 0.0244277324687278 0.0320700226378948 0.00254743005638899 0.0346174526942838 0.0794333725657831 0.145699936318385 
0.057 0.0250734332358662 0.034018243846644 0.00298160353692595 0.03699984738357 0.0876471916177441 0.148125084687785 
0.058 0.0257520326636026 0.0360111506971747 0.00341970601119071 0.0394308567083654 0.094962419833449 0.150274053196555 
0.059 0.026464708938531 0.0380512242580673 0.00386217177317877 0.0419133960312461 0.101499277578696 0.152174087905985 
0.06 0.027212718199515 0.0401410192565221 0.00430943368566903 0.0444504529421911 0.107357355779371 0.153848942160944 
0.061 0.0279973965297861 0.0422831702335096 0.00476192456790785 0.0470450948014175 0.112619856590933 0.155319426786507 
0.062 0.028820162237949 0.0444803977555176 0.00522007850585619 0.0497004762613738 0.117356830632403 0.156603859935983 
0.063 0.0296825184204399 0.046735514711125 0.00568433209689507 0.0524198468080201 0.121627677196459 0.15771843724616 
0.064 0.0305860558013129 0.0490514327198115 0.00615512563949956 0.0552065583593111 0.12548309597109 0.158677538265096 
0.065 0.0315324558457748 0.051431168677366 0.00663290427719706 0.0580640729545631 0.128966625643024 0.159493981561284 
0.066 0.0325234941469885 0.0538778514623002 0.0071181191051039 0.0609959705674041 0.132115867873548 0.160179238214419 
0.067 0.0335610440876467 0.0563947288271058 0.00761122824648637 0.0640059570735922 0.134963469189129 0.160743611377268 
0.068 0.0346470807780774 0.0589851744961835 0.00811269790603539 0.0670978724022189 0.137537914829095 0.161196388001694 
0.069 0.0357836852755831 0.0616526954933572 0.00862300340592471 0.0702756988992819 0.139864175230648 0.161545967604094 
0.07 0.0369730490897849 0.0644009397203126 0.00914263021017591 0.0735435699304885 0.141964236079186 0.161799971993811 
0.071 0.0382174789812707 0.0672337038084677 0.00967207494239899 0.0769057787508667 0.143857535648376 0.161965339144473 
0.072 0.0395194020605815 0.0701549412653229 0.0102118464015805 0.0803667876669034 0.145561327789581 0.162048403793558 
0.073 0.0408813711970098 0.0731687709377753 0.0107624665802552 0.0839312375180305 0.147090984887636 0.162054966882813 
0.074 0.042306070746708 0.0762794858140765 0.0113244716891228 0.0876039575031993 0.14846025203585 0.161990355582977 
0.075 0.0437963226112367 0.0794915621869995 0.0118984131919209 0.0913899753789204 0.149681461334608 0.16185947533516 
0.076 0.0453550926384199 0.0828096692009266 0.0124848588541689 0.0952945280550955 0.150765713408129 0.161666855103749 
0.077 0.0469854973783819 0.0862386788060854 0.0130843938092345 0.0993230726153199 0.151723031827236 0.161416686833384 
0.078 0.0486908112086162 0.0897836761436948 0.0136976216450262 0.103481297788721 0.152562495025307 0.161112859944783 
0.079 0.0504744738425392 0.0934499703860723 0.0143251655145111 0.107775135900583 0.153292349428567 0.160758991564424 
0.08 0.0523400982375489 0.0972431060570342 0.0149676692731618 0.112210775330196 0.153920106833929 0.160358453079687 
0.081 0.0542914789186865 0.101168874857794 0.0156257986463693 0.116794673504164 0.1544526285217 0.15991439351914 
0.082 0.056332600735608 0.10523332802502 0.016300242429804 0.121533570454824 0.154896198150537 0.159429760180908 
0.083 0.0584676480708751 0.109442789247891 0.0169917137256719 0.126434502973563 0.155256585129471 0.158907316870841 
0.084 0.0607010145189828 0.113803868172348 0.0177009512177883 0.131504819390136 0.155539099874721 0.158349660062439 
0.085 0.0630373130555794 0.118323474520728 0.018428720488383 0.136752195009111 0.155748642127261 0.157759233240187 
0.086 0.0654813867183618 0.123008832857002 0.0191758153795469 0.142184648236549 0.155889743314927 0.157138339655022 
0.087 0.0680383198208291 0.127867498027564 0.0199430594022451 0.147810557429809 0.155966603788134 0.156489153694251 
0.088 0.0707134497213165 0.132907371308821 0.0207313071958347 0.153638678504655 0.15598312562863 0.155813731030945 
0.089 0.0735123791707724 0.138136717293933 0.0215414460410536 0.159678163334987 0.155942941623673 0.155114017701326 
0.09 0.0764409892632391 0.143564181551669 0.0223743974294767 0.165938578981146 0.155849440909633 0.15439185824373 
0.091 0.0795054530133081 0.14919880909073 0.0232311186924738 0.172429927783203 0.155705791715447 0.153649003006868 
0.092 0.0827122495864889 0.155050063664719 0.0241126046927433 0.179162668357462 0.155514961573215 0.152887114727479 
0.093 0.0860681792078445 0.161127847952467 0.0250198895815409 0.186147737534008 0.155279735312556 0.152107774463915 
0.094 0.0895803787758373 0.167442524650144 0.0259540486247689 0.193396573274913 0.155002731110257 0.1513124869602 
0.095 0.0932563382079385 0.174004938511356 0.0269162001011391 0.200921138612495 0.154686414830591 0.150502685508061 
0.096 0.0971039175455495 0.180826439372564 0.0279075072756713 0.208733946648235 0.154333112859522 0.149679736364459 
0.097 0.101131364845578 0.187918906201083 0.0289291804518351 0.216848086652919 0.153945023609702 0.148844942777558 
0.098 0.105347334886321 0.195294772203387 0.0299824791056889 0.225277251309076 0.153524227850114 0.147999548666157 
0.099 0.109760908715143 0.202967051031377 0.0310687141054113 0.234035765136788 0.153072697994751 0.147144741992367 
0.1 0.114381614065433 0.210949364124401 0.032189250019656 0.243138614144057 0.15259230646779 0.146281657864586 
0.101 0.119219446669372 0.219255969223951 0.033345507518193 0.252601476742144 0.152084833248638 0.145411381402382 
0.102 0.12428489249283 0.227901790097788 0.0345389658683191 0.262440755966107 0.151551972687442 0.144534950390145 
0.103 0.129588950917523 0.236902447509126 0.0357711655305342 0.27267361303966 0.150995339671011 0.143653357746342 
0.104 0.135143158894015 0.246274291464959 0.0370437108569815 0.28331800232194 0.150416475209928 0.142767553829617 
0.105 0.140959616087913 0.256034434776302 0.0383582728961296 0.294392707672431 0.149816851509225 0.141878448601906 
0.106 0.147051011038943 0.266200787960398 0.0397165923071517 0.30591738026755 0.149197876578262 0.140986913666099 
0.107 0.153430648350509 0.276792095512702 0.0411204823873977 0.317912577900099 0.148560898428946 0.140093784193793 
0.108 0.160112476923744 0.287827973572607 0.0425718322162875 0.330399805788894 0.147907208906324 0.139199860757985 
0.109 0.167111119246471 0.29932894900302 0.0440726099188495 0.343401558921869 0.147238047190701 0.138305911081882 
0.11 0.174441901743175 0.311316499899174 0.0456248660519997 0.356941365951174 0.146554603006189 0.137412671716013 
0.111 0.182120886186394 0.323813097535869 0.0472307371164918 0.371043834652361 0.145858019567167 0.13652084965341 
0.112 0.190164902164237 0.336842249756031 0.0488924491972646 0.385734698953296 0.145149396290627 0.135631123891277 
0.113 0.198591580591318 0.350428545795309 0.0506123217346636 0.401040867529972 0.144429791299671 0.134744146947465 
0.114 0.207419388242293 0.364597702528446 0.0523927714287177 0.416990473957164 0.143700223740795 0.133860546338897 
0.115 0.216667663277568 0.379376612112455 0.0542363162782956 0.433612928390751 0.142961675935413 0.132980926028181 
