#T Interaction energy_density pressure entropy p_over_e cs^2
0.051 0.0421609353145558 0.0446158775699185 0.000818314085120908 0.0454341916550394 0.0183413199446433 0.129425014820182 
0.052 0.0430568282706894 0.047969730427832 0.00163763405238088 0.0496073644802129 0.0341389046337173 0.133858735272105 
0.053 0.0440042528842265 0.0513809018763445 0.00245888299737268 0.0538397848737172 0.0478559719191058 0.137799982591375 
0.054 0.0450045110200048 0.0548533778728607 0.00328295561761864 0.0581363334904793 0.0598496527456866 0.141307062919257 
0.055 0.0460590356530991 0.0583912036706787 0.00411072267252652 0.0625019263432052 0.0703996906059795 0.144429348172118 
0.056 0.0471693903361978 0.0619984954220758 0.00494303502862597 0.0669415304507017 0.0797283062270235 0.147208929349623 
0.057 0.048337269392402 0.0656794514336233 0.00578072734707377 0.0714601787806971 0.0880142452608007 0.149681916854763 
0.058 0.0495644987716098 0.0694383631587923 0.00662462146239416 0.0760629846211864 0.0954029035397179 0.151879472653545 
0.059 0.0508530375213672 0.0732796260053863 0.00747552949467304 0.0807551555000594 0.10201375064501 0.153828636573243 
0.06 0.0522049798311649 0.0772077500263997 0.00833425673174493 0.0855420067581447 0.107945856845915 0.155552993047872 
0.061 0.0536225576166408 0.0812273705559894 0.00920160431311618 0.0904289748691055 0.113282065517233 0.157073213079722 
0.062 0.055108143617165 0.0853432588470443 0.0100783717432931 0.0954216305903374 0.118092183020055 0.158407497788087 
0.063 0.0566642549859796 0.0895603327622115 0.010965359258744 0.100525692020956 0.122435445699579 0.159571943742536 
0.064 0.0582935573563497 0.0938836675656674 0.0118633700697726 0.10574703763544 0.126362448095401 0.160580845674562 
0.065 0.0599988693719 0.0983185068601437 0.0127732124960813 0.111091719356225 0.12991666476639 0.161446948703232 
0.066 0.061783167673078 0.102870273711038 0.0136957020126533 0.116565975723691 0.133135662213989 0.162181659600564 
0.067 0.063649592334637 0.107544581996897 0.0146316632207532 0.12217624521765 0.136052072071612 0.162795224625262 
0.068 0.0656014527516911 0.112347248023477 0.0155819317572619 0.127929179780739 0.138694378646514 0.163296879904908 
0.069 0.0676422339753524 0.117284302437999 0.0165473561542155 0.133831658592214 0.141087560826506 0.16369497916124 
0.07 0.0697756035001006 0.122362002477859 0.0175287996592528 0.139890802137112 0.143253618805597 0.163997102638268 
0.071 0.0720054185081238 0.127586844588125 0.0185271420266672 0.146113986614793 0.145212009016105 0.164210150359056 
0.072 0.0743357335768583 0.13296557744058 0.0195432812879072 0.152508858728487 0.146980005382527 0.164340422259338 
0.073 0.0767708088582028 0.138505215387033 0.0205781355096102 0.159083350896644 0.14857300103904 0.164393687279088 
0.074 0.0793151187393954 0.144213052379269 0.0216326445466244 0.165845696925893 0.150004761633727 0.164375243131173 
0.075 0.0819733609964167 0.150096676387147 0.0227077717969102 0.172804448184057 0.151287639030325 0.164289968162148 
0.076 0.0847504664529636 0.156163984347181 0.0238045059647392 0.179968490311921 0.152432752431684 0.16414236648357 
0.077 0.087651609158214 0.162423197672797 0.0249238628381943 0.187347060510991 0.153450142561555 0.163936607355943 
0.078 0.0906822170985784 0.168882878358432 0.0260668870866177 0.194949765445049 0.154348903453044 0.163676559645697 
0.079 0.0938479834590536 0.175551945709106 0.0272346540833508 0.202786599792457 0.155137295535757 0.163365822049025 
0.08 0.0971548784507782 0.182439693727296 0.0284282717588393 0.210867965486135 0.155822843033999 0.163007749662969 
0.081 0.100609161722606 0.189555809189474 0.0296488824889559 0.21920469167843 0.156412418146045 0.162605477400083 
0.082 0.10421739537443 0.196910390444006 0.0308976650231921 0.227808055467198 0.156912314040524 0.162161940665438 
0.083 0.107986457591551 0.204513966963159 0.0321758364572026 0.236689803420362 0.157328308354601 0.161679893654369 
0.084 0.111923556918976 0.212377519681098 0.0334846542540408 0.245862173935139 0.157665718595455 0.161161925578536 
0.085 0.116036247195531 0.220512502150408 0.0348254183182923 0.2553379204687 0.157929450614725 0.16061047508121 
0.086 0.120332443167833 0.228930862549448 0.0361994731272048 0.265130335676653 0.158124041136594 0.160027843069983 
0.087 0.12482043680407 0.237645066572512 0.0376082099228137 0.275253276495325 0.158253695164922 0.15941620416344 
0.088 0.129508914327479 0.246668121234384 0.0390530689689681 0.285721190203352 0.158322318966625 0.158777616919395 
0.089 0.134406973989661 0.256013599620912 0.0405355418770838 0.296549141497996 0.158333549222018 0.158114032991779 
0.09 0.139524144603089 0.265695666616196 0.0420571740043689 0.307752840620565 0.158290778844811 0.157427305346778 
0.091 0.144870404851311 0.275729105635876 0.0436195669281884 0.319348672564064 0.158197179900884 0.156719195647593 
0.092 0.150456203395302 0.286129346395777 0.0452243810001581 0.331353727395935 0.158055723992754 0.155991380906817 
0.093 0.156292479792246 0.296912493742659 0.0468733379834711 0.34378583172613 0.15786920042542 0.155245459492399 
0.094 0.162390686242499 0.308095357573123 0.0485682237768746 0.356663581349997 0.157640232424948 0.154482956561839 
0.095 0.168762810178031 0.319695483863869 0.0503108912286126 0.370006375092482 0.157371291644632 0.153705328992398 
0.096 0.175421397703687 0.3317311868343 0.0521032630435376 0.383834449877838 0.157064711161942 0.152913969864822 
0.097 0.182379577900032 0.344221582259441 0.0539473347864698 0.398168917045911 0.156722697142823 0.152110212552892 
0.098 0.189651087993236 0.357186621947431 0.0558451779847314 0.413031799932162 0.156347339327145 0.151295334464792 
0.099 0.197250299393879 0.370647129391732 0.0577989433326178 0.42844607272435 0.155940620469586 0.150470560477284 
0.1 0.205192244602013 0.384624836603118 0.0598108640003683 0.444435700603486 0.155504424853575 0.149637066098332 
0.101 0.213492644971213 0.399142422121135 0.061883259049974 0.461025681171109 0.155040545981337 0.148795980390802 
0.102 0.222167939318015 0.414223550197711 0.0640185369598985 0.478242087157609 0.154550693530926 0.147948388685966 
0.103 0.231235313356971 0.429892911138424 0.0662191992604843 0.496112110398908 0.154036499660172 0.147095335112263 
0.104 0.240712729933529 0.446176262777937 0.0684878442814693 0.514664107059406 0.153499524728315 0.1462378249624 
