   61.000999999999998     
  0.50000000000000000              501
   0.6420331369   0.0000000000   0.0000000000
   0.6417775900   0.0000000000   0.0000000000
   0.6415217353   0.0000000000   0.0000000000
   0.6412655721   0.0000000000   0.0000000000
   0.6410090996   0.0000000000   0.0000000000
   0.6407523165   0.0000000000   0.0000000000
   0.6404952226   0.0000000000   0.0000000000
   0.6402378164   0.0000000000   0.0000000000
   0.6399800972   0.0000000000   0.0000000000
   0.6397220643   0.0000000000   0.0000000000
   0.6394637163   0.0000000000   0.0000000000
   0.6392050530   0.0000000000   0.0000000000
   0.6389460732   0.0000000000   0.0000000000
   0.6386867757   0.0000000000   0.0000000000
   0.6384271599   0.0000000000   0.0000000000
   0.6381672249   0.0000000000   0.0000000000
   0.6379069696   0.0000000000   0.0000000000
   0.6376463933   0.0000000000   0.0000000000
   0.6373854951   0.0000000000   0.0000000000
   0.6371242736   0.0000000000   0.0000000000
   0.6368627284   0.0000000000   0.0000000000
   0.6366008584   0.0000000000   0.0000000000
   0.6363386623   0.0000000000   0.0000000000
   0.6360761399   0.0000000000   0.0000000000
   0.6358132897   0.0000000000   0.0000000000
   0.6355501108   0.0000000000   0.0000000000
   0.6352866022   0.0000000000   0.0000000000
   0.6350227628   0.0000000000   0.0000000000
   0.6347585924   0.0000000000   0.0000000000
   0.6344940890   0.0000000000   0.0000000000
   0.6342292525   0.0000000000   0.0000000000
   0.6339640812   0.0000000000   0.0000000000
   0.6336985747   0.0000000000   0.0000000000
   0.6334327315   0.0000000000   0.0000000000
   0.6331665508   0.0000000000   0.0000000000
   0.6329000319   0.0000000000   0.0000000000
   0.6326331736   0.0000000000   0.0000000000
   0.6323659746   0.0000000000   0.0000000000
   0.6320984341   0.0000000000   0.0000000000
   0.6318305511   0.0000000000   0.0000000000
   0.6315623246   0.0000000000   0.0000000000
   0.6312937535   0.0000000000   0.0000000000
   0.6310248367   0.0000000000   0.0000000000
   0.6307555733   0.0000000000   0.0000000000
   0.6304859625   0.0000000000   0.0000000000
   0.6302160026   0.0000000000   0.0000000000
   0.6299456928   0.0000000000   0.0000000000
   0.6296750326   0.0000000000   0.0000000000
   0.6294040201   0.0000000000   0.0000000000
   0.6291326548   0.0000000000   0.0000000000
   0.6288609354   0.0000000000   0.0000000000
   0.6285888608   0.0000000000   0.0000000000
   0.6283164300   0.0000000000   0.0000000000
   0.6280436416   0.0000000000   0.0000000000
   0.6277704952   0.0000000000   0.0000000000
   0.6274969889   0.0000000000   0.0000000000
   0.6272231222   0.0000000000   0.0000000000
   0.6269488938   0.0000000000   0.0000000000
   0.6266743023   0.0000000000   0.0000000000
   0.6263993470   0.0000000000   0.0000000000
   0.6261240266   0.0000000000   0.0000000000
   0.6258483399   0.0000000000   0.0000000000
   0.6255722858   0.0000000000   0.0000000000
   0.6252958630   0.0000000000   0.0000000000
   0.6250190709   0.0000000000   0.0000000000
   0.6247419075   0.0000000000   0.0000000000
   0.6244643725   0.0000000000   0.0000000000
   0.6241864641   0.0000000000   0.0000000000
   0.6239081813   0.0000000000   0.0000000000
   0.6236295230   0.0000000000   0.0000000000
   0.6233504881   0.0000000000   0.0000000000
   0.6230710752   0.0000000000   0.0000000000
   0.6227912833   0.0000000000   0.0000000000
   0.6225111110   0.0000000000   0.0000000000
   0.6222305573   0.0000000000   0.0000000000
   0.6219496210   0.0000000000   0.0000000000
   0.6216683005   0.0000000000   0.0000000000
   0.6213865946   0.0000000000   0.0000000000
   0.6211045025   0.0000000000   0.0000000000
   0.6208220230   0.0000000000   0.0000000000
   0.6205391542   0.0000000000   0.0000000000
   0.6202558957   0.0000000000   0.0000000000
   0.6199722455   0.0000000000   0.0000000000
   0.6196882026   0.0000000000   0.0000000000
   0.6194037656   0.0000000000   0.0000000000
   0.6191189338   0.0000000000   0.0000000000
   0.6188337053   0.0000000000   0.0000000000
   0.6185480787   0.0000000000   0.0000000000
