#T Interaction energy_density pressure entropy p_over_e cs^2
0.051 0.0236160010748316 0.0250061732531674 0.000463390726111911 0.0254695639792793 0.0185310531691696 0.149315632044619 
0.052 0.0236135581710975 0.0263659431540932 0.00091746166099855 0.0272834048150917 0.0347972251793359 0.153391236601055 
0.053 0.0236475465880808 0.0277373411358527 0.00136326484925729 0.02910060598511 0.0491490818308883 0.157020014416977 
0.054 0.0237167915533539 0.0291221013293851 0.00180176992534373 0.0309238712547288 0.0618695026490307 0.16024958307074 
0.055 0.02382033694549 0.0305219598349951 0.00223387429650168 0.0327558341314967 0.0731890844683055 0.163120884220247 
0.056 0.0239574247926795 0.0319386608473138 0.00266041201821142 0.0345990728655252 0.0832975443438223 0.165669307695155 
0.057 0.0241274779144116 0.0333739625936237 0.00308216155973736 0.0364561241533611 0.0923522806466567 0.167925598465327 
0.058 0.0243300852493962 0.0348296431234571 0.00349985262468695 0.038329495748144 0.100484883301312 0.169916593549 
0.059 0.0245649894923705 0.0363075059872659 0.00391417216496516 0.0402216781522311 0.107806142518794 0.171665825018498 
0.06 0.0248320767140505 0.0378093858272632 0.00432576970440424 0.0421351555316674 0.114409943715221 0.173194016390887 
0.061 0.0251313677121693 0.0393371539234097 0.00473526207041347 0.0440724159938232 0.120376326147874 0.174519493742781 
0.062 0.025463010861592 0.0408927237122521 0.00514323761688668 0.0460359613291388 0.125773906699829 0.175658528092861 
0.063 0.0258272762895358 0.0424780563171649 0.00555026000920968 0.0480283163263746 0.130661816721753 0.17662562199072 
0.064 0.0262245512135863 0.0440951661090568 0.00595687163182347 0.0500520377408802 0.135091261865096 0.177433750638099 
0.065 0.0266553363193136 0.0457461263295905 0.0063635966700923 0.0521097229996828 0.139106787408491 0.178094565590996 
0.066 0.0271202430673779 0.0474330748003054 0.00677094391097583 0.0542040187112812 0.142747311648711 0.178618567708315 
0.067 0.0276199918388906 0.0491582197414573 0.00717940930085557 0.0563376290423129 0.146046975228455 0.179015254510418 
0.068 0.0281554108461935 0.0509238457274069 0.0075894782937378 0.0585133240211447 0.149035843332885 0.179293246194241 
0.069 0.028727435746358 0.0527323198023333 0.00800162801865845 0.0607339478209917 0.151740489488278 0.179460393844857 
0.07 0.029337109904345 0.0545860977786989 0.00841632929145131 0.0630024270701502 0.15418448348465 0.179523872628115 
0.071 0.0299855852657866 0.0564877307444603 0.00883404849289124 0.0653217792373515 0.156388801186841 0.179490262260726 
0.072 0.0306741238057649 0.0584398718034378 0.00925524933255763 0.0676951211359954 0.158372170351222 0.179365616747616 
0.073 0.0314040995252145 0.0604452830717734 0.00968039451551964 0.070125677587293 0.160151363738756 0.179155524956321 
0.074 0.0321770009756861 0.0625068429565857 0.0101099473269665 0.0726167902835522 0.161741448596091 0.178865163322185 
0.075 0.0329944342978905 0.0646275537428089 0.0105443731483061 0.075171926891115 0.16315599984286 0.178499341839248 
0.076 0.0338581267626554 0.0668105495130876 0.0109841409168107 0.0777946904298984 0.164407282934547 0.178062544256146 
0.077 0.0347699308095369 0.0690591044286415 0.0114297245397015 0.080488828968343 0.165506411272852 0.177558963256371 
0.078 0.0357318285806276 0.0713766413982584 0.0118816042725436 0.083258245670802 0.16646348216706 0.176992531290786 
0.079 0.0367459369521394 0.0737667411649316 0.0123402680709307 0.0861070092358624 0.16728769464466 0.176366947626554 
0.08 0.0378145130684585 0.0762331518396236 0.0128062129237217 0.0890393647633454 0.167987451845923 0.175685702117951 
0.081 0.0389399603860901 0.0787797989124019 0.0132799461754373 0.0920597450878392 0.168570450277535 0.174952096068636 
0.082 0.0401248352410383 0.0814107957757626 0.0137619868449081 0.0951727826206707 0.169043757818238 0.174169260575576 
0.083 0.0413718539506077 0.0841304547910501 0.0142528669468141 0.0983833217378642 0.169413882074133 0.173340172646362 
0.084 0.0426839004693266 0.0869432989364917 0.0147531328223884 0.10169643175888 0.16968683041536 0.172467669357071 
0.085 0.0440640346154124 0.0898540740711596 0.0152633464852491 0.105117420556409 0.169868162829894 0.171554460287857 
0.086 0.0455155008917859 0.0928677618560132 0.0157840869880758 0.108651848844089 0.169963038546662 0.170603138416001 
0.087 0.0470417379250458 0.0959895933720251 0.0163159518156598 0.112305545187685 0.169976257243057 0.169616189676671 
0.088 0.0486463885485674 0.0992250634776614 0.016859558309698 0.116084621787359 0.169912295530994 0.16859600131369 
0.089 0.0503333105607281 0.102579945952528 0.0174155451306001 0.119995491083128 0.169775339311054 0.167544869171148 
0.09 0.0521065881884913 0.106060309473013 0.0179845737615072 0.12404488323452 0.169569312505951 0.166465004060509 
0.091 0.0539705442909675 0.109672534470005 0.0185673300596793 0.128239864529685 0.169297902609858 0.165358537282235 
0.092 0.0559297533409742 0.113423330922203 0.0191645258604095 0.132587856782612 0.168964583429087 0.164227525420689 
