 eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   0.0003891865   0.0000809740    0.0094032096   0.0000000000
   0.0004326192   0.0000908028    0.0102631781   0.0000000000
   0.0004796510   0.0001015181    0.0111763293   0.0000000000
   0.0005304935   0.0001131739    0.0121446686   0.0000000000
   0.0005853683   0.0001258265    0.0131702745   0.0000000000
   0.0006445075   0.0001395343    0.0142553049   0.0000000000
   0.0007081545   0.0001543577    0.0154020023   0.0000000000
   0.0007765643   0.0001703596    0.0166127000   0.0000000000
   0.0008500049   0.0001876052    0.0178898288   0.0000000000
   0.0009287572   0.0002061622    0.0192359226   0.0000000000
   0.0010131166   0.0002261009    0.0206536257   0.0000000000
   0.0011033934   0.0002474943    0.0221456996   0.0000000000
   0.0011999138   0.0002704181    0.0237150297   0.0000000000
   0.0013030208   0.0002949511    0.0253646332   0.0000000000
   0.0014130755   0.0003211752    0.0270976666   0.0000000000
   0.0015304579   0.0003491753    0.0289174337   0.0000000000
   0.0016555679   0.0003790401    0.0308273943   0.0000000000
   0.0017888272   0.0004108614    0.0328311724   0.0000000000
   0.0019306795   0.0004447350    0.0349325660   0.0000000000
   0.0020815930   0.0004807604    0.0371355558   0.0000000000
   0.0022420608   0.0005190413    0.0394443162   0.0000000000
   0.0024126032   0.0005596857    0.0418632240   0.0000000000
   0.0025937687   0.0006028060    0.0443968711   0.0000000000
   0.0027861361   0.0006485193    0.0470500746   0.0000000000
   0.0029903161   0.0006969477    0.0498278888   0.0000000000
   0.0032069529   0.0007482184    0.0527356176   0.0000000000
   0.0034367268   0.0008024641    0.0557788275   0.0000000000
   0.0036803556   0.0008598232    0.0589633608   0.0000000000
   0.0039385973   0.0009204400    0.0622953496   0.0000000000
   0.0042122521   0.0009844652    0.0657812306   0.0000000000
   0.0045021648   0.0010520560    0.0694277603   0.0000000000
   0.0048092279   0.0011233766    0.0732420304   0.0000000000
   0.0051343833   0.0011985984    0.0772314851   0.0000000000
   0.0054786263   0.0012779006    0.0814039377   0.0000000000
   0.0058430074   0.0013614700    0.0857675889   0.0000000000
   0.0062286365   0.0014495023    0.0903310452   0.0000000000
   0.0066366854   0.0015422017    0.0951033385   0.0000000000
   0.0070683916   0.0016397818    0.1000939463   0.0000000000
   0.0075250618   0.0017424657    0.1053128122   0.0000000000
   0.0080080758   0.0018504870    0.1107703683   0.0000000000
   0.0085188905   0.0019640896    0.1164775573   0.0000000000
   0.0090590438   0.0020835291    0.1224458559   0.0000000000
   0.0096301591   0.0022090724    0.1286872990   0.0000000000
   0.0102339500   0.0023409989    0.1352145050   0.0000000000
   0.0108722249   0.0024796010    0.1420407013   0.0000000000
   0.0115468918   0.0026251846    0.1491797512   0.0000000000
   0.0122599638   0.0027780697    0.1566461815   0.0000000000
   0.0130135643   0.0029385912    0.1644552110   0.0000000000
   0.0138099328   0.0031070996    0.1726227799   0.0000000000
   0.0146514306   0.0032839618    0.1811655796   0.0000000000
   0.0155405468   0.0034695616    0.1901010841   0.0000000000
   0.0164799049   0.0036643009    0.1994475820   0.0000000000
   0.0174722692   0.0038686001    0.2092242089   0.0000000000
   0.0185205517   0.0040828994    0.2194509812   0.0000000000
   0.0196278193   0.0043076591    0.2301488305   0.0000000000
   0.0207973008   0.0045433613    0.2413396390   0.0000000000
   0.0220323949   0.0047905103    0.2530462752   0.0000000000
   0.0233366777   0.0050496338    0.2652926309   0.0000000000
   0.0247139114   0.0053212838    0.2781036591   0.0000000000
   0.0261680519   0.0056060380    0.2915054118   0.0000000000
   0.0277032582   0.0059045005    0.3055250794   0.0000000000
   0.0293239009   0.0062173035    0.3201910305   0.0000000000
   0.0310345716   0.0065451079    0.3355328523   0.0000000000
   0.0328400925   0.0068886048    0.3515813914   0.0000000000
   0.0347455258   0.0072485169    0.3683687959   0.0000000000
   0.0367561844   0.0076255998    0.3859285578   0.0000000000
   0.0388776413   0.0080206431    0.4042955551   0.0000000000
   0.0411157412   0.0084344720    0.4235060959   0.0000000000
   0.0434766105   0.0088679490    0.4435979623   0.0000000000
   0.0459666692   0.0093219748    0.4646104538   0.0000000000
   0.0485926416   0.0097974904    0.4865844331   0.0000000000
   0.0513615686   0.0102954783    0.5095623706   0.0000000000
   0.0542808191   0.0108169644    0.5335883897   0.0000000000
   0.0573581028   0.0113630197    0.5587083130   0.0000000000
   0.0606014823   0.0119347615    0.5849697078   0.0000000000
   0.0640193856   0.0125333560    0.6124219326   0.0000000000
   0.0676206197   0.0131600193    0.6411161831   0.0000000000
   0.0714143835   0.0138160200    0.6711055393   0.0000000000
   0.0754102810   0.0145026804    0.7024450111   0.0000000000
   0.0796183356   0.0152213790    0.7351915860   0.0000000000
   0.0840490035   0.0159735522    0.7694042746   0.0000000000
   0.0887131882   0.0167606966    0.8051441583   0.0000000000
   0.0936222548   0.0175843706    0.8424744347   0.0000000000
   0.0987880445   0.0184461973    0.8814604647   0.0000000000
   0.1042228897   0.0193478659    0.9221698184   0.0000000000
   0.1099396288   0.0202911346    0.9646723211   0.0000000000
   0.1159516212   0.0212778323    1.0090400990   0.0000000000
   0.1222727632   0.0223098613    1.0553476244   0.0000000000
   0.1289175034   0.0233891997    1.1036717613   0.0000000000
   0.1359008582   0.0245179034    1.1540918100   0.0000000000
   0.1432384280   0.0256981091    1.2066895510   0.0000000000
   0.1509464133   0.0269320364    1.2615492889   0.0000000000
   0.1590416307   0.0282219906    1.3187578963   0.0000000000
   0.1675415295   0.0295703649    1.3784048564   0.0000000000
   0.1764642082   0.0309796437    1.4405823048   0.0000000000
   0.1858284309   0.0324524046    1.5053850720   0.0000000000
   0.1956536443   0.0339913214    1.5729107237   0.0000000000
   0.2059599945   0.0355991670    1.6432596018   0.0000000000
   0.2167683439   0.0372788160    1.7165348640   0.0000000000
   0.2281002884   0.0390332474    1.7928425221   0.0000000000
   0.2399781742   0.0408655480    1.8722914814   0.0000000000
   0.2524251155   0.0427789147    1.9549935774   0.0000000000
   0.2654650114   0.0447766577    2.0410636125   0.0000000000
   0.2791225633   0.0468622037    2.1306193922   0.0000000000
   0.2934232924   0.0490390986    2.2237817598   0.0000000000
   0.3083935571   0.0513110106    2.3206746304   0.0000000000
   0.3240605703   0.0536817335    2.4214250245   0.0000000000
   0.3404524169   0.0561551898    2.5261631000   0.0000000000
   0.3575980717   0.0587354333    2.6350221836   0.0000000000
   0.3755274163   0.0614266532    2.7481388013   0.0000000000
   0.3942712567   0.0642331765    2.8656527079   0.0000000000
   0.4138613415   0.0671594719    2.9877069151   0.0000000000
   0.4343303781   0.0702101524    3.1144477191   0.0000000000
   0.4557120514   0.0733899792    3.2460247276   0.0000000000
   0.4780410403   0.0767038647    3.3825908842   0.0000000000
   0.5013530355   0.0801568760    3.5243024938   0.0000000000
   0.5256847568   0.0837542379    3.6713192452   0.0000000000
   0.5510739700   0.0875013370    3.8238042338   0.0000000000
   0.5775595046   0.0914037244    3.9819239827   0.0000000000
   0.6051812705   0.0954671197    4.1458484629   0.0000000000
   0.6339802752   0.0996974139    4.3157511123   0.0000000000
   0.6639986407   0.1041006734    4.4918088542   0.0000000000
   0.6952795519   0.1086831432    4.6742017159   0.0000000000
   0.7278473529   0.1134512165    4.8629975115   0.0000000000
   0.7616776997   0.1184112010    5.0579821879   0.0000000000
   0.7967408045   0.1235691631    5.2589141010   0.0000000000
   0.8330091313   0.1289309365    5.4655685671   0.0000000000
   0.8704572649   0.1345021380    5.6777367397   0.0000000000
   0.9090617896   0.1402881831    5.8952245655   0.0000000000
   0.9488011739   0.1462943001    6.1178518103   0.0000000000
   0.9896556636   0.1525255439    6.3454511527   0.0000000000
   1.0316071804   0.1589868079    6.5778673387   0.0000000000
   1.0746392276   0.1656828361    6.8149563940   0.0000000000
   1.1187368009   0.1726182338    7.0565848891   0.0000000000
   1.1638863051   0.1797974777    7.3026292544   0.0000000000
   1.2100754750   0.1872249260    7.5529751405   0.0000000000
   1.2572933024   0.1949048265    7.8075168222   0.0000000000
