 eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   1.3055299663   0.2028413256    8.0661566412   0.0000000000
   1.3547767677   0.2110384758    8.3288044866   0.0000000000
   1.4050260685   0.2195002428    8.5953773089   0.0000000000
   1.4562712336   0.2282305131    8.8657986673   0.0000000000
   1.5085065767   0.2372330995    9.1399983052   0.0000000000
   1.5617273093   0.2465117476    9.4179117549   0.0000000000
   1.6159294925   0.2560701413    9.6994799676   0.0000000000
   1.6711099918   0.2659119078    9.9846489667   0.0000000000
   1.7272664345   0.2760406230   10.2733695254   0.0000000000
   1.7843971695   0.2864598157   10.5655968632   0.0000000000
   1.8425012296   0.2971729721   10.8612903635   0.0000000000
   1.9015782956   0.3081835395   11.1604133088   0.0000000000
   1.9616286631   0.3194949308   11.4629326325   0.0000000000
   2.0226532105   0.3311105270   11.7688186875   0.0000000000
   2.0846533693   0.3430336815   12.0780450288   0.0000000000
   2.1476310959   0.3552677227   12.3905882104   0.0000000000
   2.2115888451   0.3678159567   12.7064275950   0.0000000000
   2.2765295452   0.3806816706   13.0255451754   0.0000000000
   2.3424565741   0.3938681345   13.3479254082   0.0000000000
   2.4093737372   0.4073786045   13.6735550567   0.0000000000
   2.4772852462   0.4212163241   14.0024230447   0.0000000000
   2.5461956994   0.4353845270   14.3345203191   0.0000000000
   2.6161100629   0.4498864387   14.6698397209   0.0000000000
   2.6870336530   0.4647252786   15.0083758651   0.0000000000
   2.7589721192   0.4799042615   15.3501250270   0.0000000000
   2.8319314287   0.4954265990   15.6950850364   0.0000000000
   2.9059178514   0.5112955016   16.0432551781   0.0000000000
   2.9809379456   0.5275141796   16.3946360987   0.0000000000
   3.0569985450   0.5440858446   16.7492297192   0.0000000000
   3.1341067460   0.5610137109   17.1070391526   0.0000000000
   3.2122698959   0.5783009963   17.4680686274   0.0000000000
   3.2914955812   0.5959509233   17.8323234151   0.0000000000
   3.3717916177   0.6139667203   18.1998097625   0.0000000000
   3.4531660398   0.6323516224   18.5705348283   0.0000000000
   3.5356270916   0.6511088722   18.9445066234   0.0000000000
   3.6191832172   0.6702417208   19.3217339549   0.0000000000
   3.7038430529   0.6897534284   19.7022263737   0.0000000000
   3.7896154187   0.7096472653   20.0859941251   0.0000000000
   3.8765093110   0.7299265121   20.4730481025   0.0000000000
   3.9645338951   0.7505944607   20.8633998044   0.0000000000
   4.0536984986   0.7716544150   21.2570612933   0.0000000000
   4.1440126051   0.7931096908   21.6540451574   0.0000000000
   4.2354858477   0.8149636171   22.0543644751   0.0000000000
   4.3281280036   0.8372195361   22.4580327812   0.0000000000
   4.4219489885   0.8598808036   22.8650640352   0.0000000000
   4.5169588513   0.8829507899   23.2754725916   0.0000000000
   4.6131677697   0.9064328795   23.6892731723   0.0000000000
   4.7105860447   0.9303304719   24.1064808404   0.0000000000
   4.8092240973   0.9546469820   24.5271109756   0.0000000000
   4.9090924634   0.9793858399   24.9511792513   0.0000000000
   5.0102017905   1.0045504918   25.3787016132   0.0000000000
   5.1125628337   1.0301443999   25.8096942587   0.0000000000
   5.2161864521   1.0561710426   26.2441736181   0.0000000000
   5.3210836059   1.0826339149   26.6821563369   0.0000000000
   5.4272653528   1.1095365287   27.1236592592   0.0000000000
   5.5347428451   1.1368824125   27.5686994115   0.0000000000
   5.6435273269   1.1646751123   28.0172939887   0.0000000000
   5.7536301318   1.1929181911   28.4694603399   0.0000000000
   5.8650626798   1.2216152294   28.9252159558   0.0000000000
   5.9778364749   1.2507698253   29.3845784562   0.0000000000
   6.0919631036   1.2803855945   29.8475655793   0.0000000000
   6.2074542316   1.3104661706   30.3141951704   0.0000000000
   6.3243216030   1.3410152050   30.7844851726   0.0000000000
   6.4425770372   1.3720363671   31.2584536171   0.0000000000
   6.5622324278   1.4035333444   31.7361186146   0.0000000000
   6.6832997410   1.4355098426   32.2174983474   0.0000000000
   6.8057910131   1.4679695854   32.7026110613   0.0000000000
   6.9297183499   1.5009163151   33.1914750591   0.0000000000
   7.0550939247   1.5343537921   33.6841086933   0.0000000000
   7.1819299771   1.5682857952   34.1805303605   0.0000000000
   7.3102388116   1.6027161216   34.6807584951   0.0000000000
   7.4400327964   1.6376485872   35.1848115643   0.0000000000
   7.5713243623   1.6730870259   35.6927080627   0.0000000000
   7.7041260014   1.7090352906   36.2044665079   0.0000000000
   7.8384502663   1.7454972524   36.7201054357   0.0000000000
   7.9743097688   1.7824768011   37.2396433967   0.0000000000
   8.1117171792   1.8199778451   37.7630989517   0.0000000000
   8.2506852254   1.8580043111   38.2904906687   0.0000000000
   8.3912266920   1.8965601447   38.8218371194   0.0000000000
   8.5333544194   1.9356493098   39.3571568765   0.0000000000
   8.6770813032   1.9752757890   39.8964685102   0.0000000000
   8.8224202935   2.0154435836   40.4397905863   0.0000000000
   8.9693843942   2.0561567132   40.9871416632   0.0000000000
   9.1179866622   2.0974192161   41.5385402901   0.0000000000
   9.2682402071   2.1392351492   42.0940050047   0.0000000000
   9.4201581905   2.1816085877   42.6535543313   0.0000000000
   9.5737538252   2.2245436255   43.2172067793   0.0000000000
   9.7290403754   2.2680443751   43.7849808411   0.0000000000
   9.8860311553   2.3121149672   44.3568949911   0.0000000000
  10.0447395296   2.3567595513   44.9329676841   0.0000000000
  10.2051789122   2.4019822949   45.5132173542   0.0000000000
  10.3673627665   2.4477873844   46.0976624135   0.0000000000
  10.5313046048   2.4941790244   46.6863212513   0.0000000000
  10.6970179876   2.5411614377   47.2792122329   0.0000000000
  10.8645165238   2.5887388656   47.8763536992   0.0000000000
  11.0338138703   2.6369155680   48.4777639654   0.0000000000
  11.2049237312   2.6856958226   49.0834613208   0.0000000000
  11.3778598582   2.7350839257   49.6934640279   0.0000000000
  11.5526360500   2.7850841919   50.3077903222   0.0000000000
  11.7292661520   2.8357009537   50.9264584114   0.0000000000
  11.9077640564   2.8869385620   51.5494864752   0.0000000000
  12.0881437015   2.9388013860   52.1768926649   0.0000000000
  12.2704190720   2.9912938128   52.8086951030   0.0000000000
  12.4546041986   3.0444202476   53.4449118834   0.0000000000
  12.6407131576   3.0981851140   54.0855610707   0.0000000000
  12.8287600712   3.1525928533   54.7306607001   0.0000000000
  13.0187591070   3.2076479249   55.3802287778   0.0000000000
  13.2107244781   3.2633548063   56.0342832802   0.0000000000
  13.4046704427   3.3197179929   56.6928421546   0.0000000000
  13.6006113043   3.3767419980   57.3559233185   0.0000000000
  13.7985614112   3.4344313529   58.0235446603   0.0000000000
  13.9985351568   3.4927906067   58.6957240386   0.0000000000
  14.2005469793   3.5518243263   59.3724792831   0.0000000000
  14.4046113617   3.6115370965   60.0538281940   0.0000000000
  14.6107428315   3.6719335198   60.7397885426   0.0000000000
  14.8189559609   3.7330182166   61.4303780712   0.0000000000
  15.0292653666   3.7947958249   62.1256144934   0.0000000000
  15.2416857097   3.8572710005   62.8255154940   0.0000000000
  15.4562316959   3.9204484167   63.5300987298   0.0000000000
  15.6729180751   3.9843327646   64.2393818290   0.0000000000
  15.8917596416   4.0489287528   64.9533823921   0.0000000000
  16.1127712338   4.1142411077   65.6721179919   0.0000000000
  16.3359677346   4.1802745730   66.3956061735   0.0000000000
  16.5613640710   4.2470339101   67.1238644551   0.0000000000
  16.7889752142   4.3145238978   67.8569103277   0.0000000000
  17.0188161794   4.3827493324   68.5947612558   0.0000000000
  17.2509020262   4.4517150278   69.3374346773   0.0000000000
  17.4852478583   4.5214258151   70.0849480042   0.0000000000
  17.7218688233   4.5918865429   70.8373186227   0.0000000000
  17.9607801131   4.6631020772   71.5945638932   0.0000000000
  18.2019969636   4.7350773013   72.3567011513   0.0000000000
  18.4455346550   4.8078171159   73.1237477073   0.0000000000
  18.6914085113   4.8813264389   73.8957208472   0.0000000000
  18.9396339008   4.9556102056   74.6726378326   0.0000000000
  19.1902262359   5.0306733683   75.4545159010   0.0000000000
  19.4432009730   5.1065208968   76.2413722664   0.0000000000
  19.6985736126   5.1831577780   77.0332241195   0.0000000000
  19.9563596995   5.2605890159   77.8300886278   0.0000000000
  20.2165748224   5.3388196318   78.6319829362   0.0000000000
  20.4792346144   5.4178546641   79.4389241672   0.0000000000
  20.7443547525   5.4976991682   80.2509294211   0.0000000000
  21.0119509581   5.5783582167   81.0680157765   0.0000000000
  21.2820389965   5.6598368991   81.8902002908   0.0000000000
  21.5546346776   5.7421403223   82.7174999998   0.0000000000
  21.8297538553   5.8252736099   83.5499319189   0.0000000000
  22.1074124276   5.9092419025   84.3875130427   0.0000000000
  22.3876263371   5.9940503580   85.2302603457   0.0000000000
  22.6704115704   6.0797041509   86.0781907826   0.0000000000
  22.9557841587   6.1662084729   86.9313212883   0.0000000000
  23.2437601771   6.2535685325   87.7896687786   0.0000000000
  23.5343557455   6.3417895551   88.6532501502   0.0000000000
  23.8275870279   6.4308767831   89.5220822811   0.0000000000
  24.1234702329   6.5208354756   90.3961820310   0.0000000000
  24.4220216134   6.6116709086   91.2755662413   0.0000000000
  24.7232574668   6.7033883751   92.1602517359   0.0000000000
  25.0271941349   6.7959931848   93.0502553208   0.0000000000
  25.3338480042   6.8894906641   93.9455937851   0.0000000000
  25.6432355056   6.9838861562   94.8462839006   0.0000000000
  25.9553731144   7.0791850213   95.7523424226   0.0000000000
  26.2702773510   7.1753926361   96.6637860899   0.0000000000
  26.5879647798   7.2725143941   97.5806316253   0.0000000000
  26.9084520104   7.3705557056   98.5028957355   0.0000000000
  27.2317556966   7.4695219974   99.4305951117   0.0000000000
  27.5578925373   7.5694187131  100.3637464297   0.0000000000
  27.8868792758   7.6702513131  101.3023663502   0.0000000000
  28.2187327005   7.7720252742  102.2464715192   0.0000000000
  28.5534696443   7.8747460901  103.1960785677   0.0000000000
  28.8911069851   7.9784192709  104.1512041128   0.0000000000
  29.2316616455   8.0830503434  105.1118647572   0.0000000000
  29.5751505930   8.1886448509  106.0780770898   0.0000000000
  29.9215908402   8.2952083536  107.0498576859   0.0000000000
  30.2709994445   8.4027464279  108.0272231073   0.0000000000
  30.6233935081   8.5112646670  109.0101899026   0.0000000000
  30.9787901784   8.6207686804  109.9987746077   0.0000000000
  31.3372066478   8.7312640943  110.9929937455   0.0000000000
  31.6986601537   8.8427565515  111.9928638265   0.0000000000
  32.0631679785   8.9552517111  112.9984013489   0.0000000000
  32.4307474499   9.0687552488  114.0096227986   0.0000000000
  32.8014159404   9.1832728568  115.0265446501   0.0000000000
  33.1751908681   9.2988102438  116.0491833657   0.0000000000
  33.5520896959   9.4153731347  117.0775553966   0.0000000000
  33.9321299320   9.5329672711  118.1116771826   0.0000000000
  34.3153291301   9.6515984111  119.1515651523   0.0000000000
  34.7017048888   9.7712723290  120.1972357237   0.0000000000
  35.0912748522   9.8919948156  121.2487053038   0.0000000000
  35.4840567096  10.0137716781  122.3059902894   0.0000000000
  35.8800681958  10.1366087401  123.3691070667   0.0000000000
  36.2793270908  10.2605118416  124.4380720118   0.0000000000
  36.6818512202  10.3854868389  125.5129014911   0.0000000000
  37.0876584548  10.5115396049  126.5936118608   0.0000000000
  37.4967667110  10.6386760284  127.6802194678   0.0000000000
  37.9091939505  10.7669020150  128.7727406494   0.0000000000
  38.3249581807  10.8962234863  129.8711917337   0.0000000000
  38.7440774545  11.0266463805  130.9755890394   0.0000000000
  39.1665698701  11.1581766519  132.0859488767   0.0000000000
  39.5924535716  11.2908202712  133.2022875467   0.0000000000
  40.0217467485  11.4245832254  134.3246213417   0.0000000000
  40.4544676359  11.5594715177  135.4529665459   0.0000000000
  40.8906345147  11.6954911677  136.5873394348   0.0000000000
  41.3302657112  11.8326482112  137.7277562758   0.0000000000
  41.7733795977  11.9709487003  138.8742333283   0.0000000000
  42.2199945920  12.1103987034  140.0267868438   0.0000000000
  42.6701291577  12.2510043049  141.1854330658   0.0000000000
  43.1238018041  12.3927716058  142.3501882305   0.0000000000
  43.5810310863  12.5357067231  143.5210685662   0.0000000000
  44.0418356052  12.6798157901  144.6980902940   0.0000000000
  44.5062340075  12.8251049562  145.8812696279   0.0000000000
  44.9742449859  12.9715803873  147.0706227746   0.0000000000
  45.4458872787  13.1192482651  148.2661659338   0.0000000000
  45.9211796703  13.2681147879  149.4679152984   0.0000000000
  46.4001409907  13.4181861699  150.6758870544   0.0000000000
  46.8827901162  13.5694686415  151.8900973813   0.0000000000
  47.3691459689  13.7219684495  153.1105624521   0.0000000000
  47.8592275166  13.8756918567  154.3372984333   0.0000000000
  48.3530537734  14.0306451421  155.5703214851   0.0000000000
  48.8506437994  14.1868346008  156.8096477616   0.0000000000
  49.3520167005  14.3442665441  158.0552934107   0.0000000000
  49.8571916287  14.5029472994  159.3072745745   0.0000000000
  50.3661877822  14.6628832104  160.5656073891   0.0000000000
  50.8790244050  14.8240806368  161.8303079848   0.0000000000
  51.3957207876  14.9865459544  163.1013924864   0.0000000000
  51.9162962662  15.1502855551  164.3788770130   0.0000000000
  52.4407702233  15.3153058471  165.6627776783   0.0000000000
  52.9691620875  15.4816132546  166.9531105905   0.0000000000
  53.5014913337  15.6492142177  168.2498918527   0.0000000000
  54.0377774828  15.8181151931  169.5531375627   0.0000000000
  54.5780401018  15.9883226530  170.8628638133   0.0000000000
  55.1222988043  16.1598430862  172.1790866921   0.0000000000
  55.6705732497  16.3326829973  173.5018222820   0.0000000000
  56.2228831439  16.5068489071  174.8310866610   0.0000000000
  56.7792482389  16.6823473523  176.1668959021   0.0000000000
  57.3396883331  16.8591848859  177.5092660741   0.0000000000
  57.9042232711  17.0373680768  178.8582132407   0.0000000000
  58.4728729438  17.2169035100  180.2137534615   0.0000000000
  59.0456572885  17.3977977867  181.5759027915   0.0000000000
  59.6225962887  17.5800575240  182.9446772812   0.0000000000
  60.2037099743  17.7636893550  184.3200929771   0.0000000000
  60.7890184216  17.9486999290  185.7021659214   0.0000000000
  61.3785417533  18.1350959113  187.0909121519   0.0000000000
  61.9723001383  18.3228839831  188.4863477028   0.0000000000
  62.5703137921  18.5120708418  189.8884886039   0.0000000000
  63.1726029764  18.7026632008  191.2973508813   0.0000000000
  63.7791879996  18.8946677894  192.7129505572   0.0000000000
  64.3900892164  19.0880913530  194.1353036498   0.0000000000
  65.0053270279  19.2829406531  195.5644261740   0.0000000000
  65.6249218816  19.4792224672  197.0003341407   0.0000000000
  66.2488942717  19.6769435886  198.4430435572   0.0000000000
  66.8772647387  19.8761108268  199.8925704274   0.0000000000
  67.5100538698  20.0767310073  201.3489307517   0.0000000000
  68.1472822984  20.2788109714  202.8121405271   0.0000000000
  68.7889707047  20.4823575768  204.2822157470   0.0000000000
  69.4351398153  20.6873776967  205.7591724018   0.0000000000
  70.0858104034  20.8938782207  207.2430264786   0.0000000000
  70.7410032887  21.1018660542  208.7337939610   0.0000000000
  71.4007393376  21.3113481185  210.2314908299   0.0000000000
  72.0650394628  21.5223313510  211.7361330629   0.0000000000
  72.7339246240  21.7348227050  213.2477366344   0.0000000000
  73.4074158272  21.9488291500  214.7663175162   0.0000000000
  74.0855341250  22.1643576711  216.2918916767   0.0000000000
  74.7683006168  22.3814152698  217.8244750819   0.0000000000
  75.4557364484  22.6000089630  219.3640836946   0.0000000000
  76.1478628126  22.8201457842  220.9107334750   0.0000000000
  76.8447009485  23.0418327824  222.4644403805   0.0000000000
  77.5462721419  23.2650770227  224.0252203657   0.0000000000
  78.2525977255  23.4898855861  225.5930893828   0.0000000000
  78.9636990785  23.7162655698  227.1680633812   0.0000000000
  79.6795976269  23.9442240865  228.7501583077   0.0000000000
  80.4003148431  24.1737682653  230.3393901068   0.0000000000
  81.1258722467  24.4049052510  231.9357747202   0.0000000000
  81.8562914036  24.6376422043  233.5393280876   0.0000000000
  82.5915939266  24.8719863021  235.1500661458   0.0000000000
  83.3318014752  25.1079447368  236.7680048297   0.0000000000
  84.0769357556  25.3455247173  238.3931600716   0.0000000000
  84.8270185209  25.5847334678  240.0255478015   0.0000000000
  85.5820715707  25.8255782290  241.6651839474   0.0000000000
  86.3421167517  26.0680662572  243.3120844349   0.0000000000
  87.1071759572  26.3122048246  244.9662651874   0.0000000000
  87.8772711271  26.5580012196  246.6277421264   0.0000000000
  88.6524242483  26.8054627462  248.2965311711   0.0000000000
  89.4326573546  27.0545967246  249.9726482387   0.0000000000
  90.2179925264  27.3054104907  251.6561092443   0.0000000000
  91.0084518909  27.5579113964  253.3469301011   0.0000000000
  91.8040576223  27.8121068095  255.0451267202   0.0000000000
  92.6048319415  28.0680041137  256.7507150111   0.0000000000
  93.4107971162  28.3256107087  258.4637108810   0.0000000000
  94.2219754612  28.5849340100  260.1841302354   0.0000000000
  95.0383893377  28.8459814490  261.9119889781   0.0000000000
  95.8600611541  29.1087604730  263.6473030108   0.0000000000
  96.6870133656  29.3732785454  265.3900882336   0.0000000000
  97.5192684742  29.6395431452  267.1403605449   0.0000000000
  98.3568490288  29.9075617675  268.8981358412   0.0000000000
  99.1997776252  30.1773419232  270.6634300175   0.0000000000
 100.0480769061  30.4488911391  272.4362589670   0.0000000000
 100.9017695611  30.7222169580  274.2166385814   0.0000000000
 101.7608783265  30.9973269384  276.0045847505   0.0000000000
 102.6254259859  31.2742286550  277.8001133628   0.0000000000
 103.4954353694  31.5529296980  279.6032403051   0.0000000000
 104.3709293543  31.8334376737  281.4139814627   0.0000000000
 105.2519308647  32.1157602042  283.2323527195   0.0000000000
 106.1384628717  32.3999049278  285.0583699577   0.0000000000
 107.0305483932  32.6858794981  286.8920490581   0.0000000000
 107.9282104942  32.9736915851  288.7334059002   0.0000000000
 108.8314722865  33.2633488745  290.5824563619   0.0000000000
 109.7403569290  33.5548590677  292.4392163198   0.0000000000
 110.6548876275  33.8482298822  294.3037016491   0.0000000000
 111.5750876346  34.1434690514  296.1759282236   0.0000000000
 112.5009802502  34.4405843244  298.0559119160   0.0000000000
 113.4325888209  34.7395834662  299.9436685973   0.0000000000
 114.3699367402  35.0404742579  301.8392141376   0.0000000000
 115.3130474490  35.3432644961  303.7425644054   0.0000000000
 116.2619444348  35.6479619935  305.6537352682   0.0000000000
 117.2166512321  35.9545745788  307.5727425922   0.0000000000
 118.1771914228  36.2631100962  309.4996022423   0.0000000000
 119.1435886352  36.5735764060  311.4343300823   0.0000000000
 120.1158665451  36.8859813843  313.3769419749   0.0000000000
 121.0940488751  37.2003329232  315.3274537815   0.0000000000
 122.0781593948  37.5166389305  317.2858813623   0.0000000000
 123.0682219208  37.8349073298  319.2522405767   0.0000000000
 124.0642603170  38.1551460608  321.2265472827   0.0000000000
 125.0662984938  38.4773630788  323.2088173373   0.0000000000
 126.0743604092  38.8015663552  325.1990665965   0.0000000000
 127.0884700679  39.1277638771  327.1973109152   0.0000000000
 128.1086515216  39.4559636474  329.2035661472   0.0000000000
 129.1349288693  39.7861736849  331.2178481455   0.0000000000
 130.1673262568  40.1184020245  333.2401727618   0.0000000000
 131.2058678771  40.4526567166  335.2705558470   0.0000000000
 132.2505779702  40.7889458276  337.3090132511   0.0000000000
 133.3014808231  41.1272774398  339.3555608229   0.0000000000
 134.3586007701  41.4676596513  341.4102144104   0.0000000000
 135.4219621922  41.8101005760  343.4729898608   0.0000000000
 136.4915895178  42.1546083436  345.5439030202   0.0000000000
 137.5675072222  42.5011910998  347.6229697337   0.0000000000
 138.6497398278  42.8498570062  349.7102058459   0.0000000000
 139.7383119041  43.2006142400  351.8056272002   0.0000000000
 140.8332480677  43.5534709943  353.9092496392   0.0000000000
 141.9345729823  43.9084354782  356.0210890048   0.0000000000
 143.0423113585  44.2655159166  358.1411611378   0.0000000000
 144.1564879543  44.6247205500  360.2694818786   0.0000000000
 145.2771275747  44.9860576351  362.4060670663   0.0000000000
 146.4042550715  45.3495354442  364.5509325395   0.0000000000
 147.5378953441  45.7151622656  366.7040941360   0.0000000000
 148.6780733386  46.0829464032  368.8655676928   0.0000000000
